,Month,Passengers,year,month_Apr,month_Aug,month_Dec,month_Feb,month_Jan,month_Jul,month_Jun,month_Mar,month_May,month_Nov,month_Oct,month_Sep,log_passengers,t,t_sqr
84,01-01-2003,284,2003,0,0,0,0,1,0,0,0,0,0,0,0,5.648974238,85,7225
85,01-02-2003,277,2003,0,0,0,1,0,0,0,0,0,0,0,0,5.624017506,86,7396
86,01-03-2003,317,2003,0,0,0,0,0,0,0,1,0,0,0,0,5.758901774,87,7569
87,01-04-2003,313,2003,1,0,0,0,0,0,0,0,0,0,0,0,5.746203191,88,7744
88,01-05-2003,318,2003,0,0,0,0,0,0,0,0,1,0,0,0,5.762051383,89,7921
89,01-06-2003,374,2003,0,0,0,0,0,0,1,0,0,0,0,0,5.924255797,90,8100
90,01-07-2003,413,2003,0,0,0,0,0,1,0,0,0,0,0,0,6.023447593,91,8281
91,01-08-2003,405,2003,0,1,0,0,0,0,0,0,0,0,0,0,6.003887067,92,8464
92,01-09-2003,355,2003,0,0,0,0,0,0,0,0,0,0,0,1,5.872117789,93,8649
93,01-10-2003,306,2003,0,0,0,0,0,0,0,0,0,0,1,0,5.723585102,94,8836
94,01-11-2003,271,2003,0,0,0,0,0,0,0,0,0,1,0,0,5.602118821,95,9025
95,01-12-2003,306,2003,0,0,1,0,0,0,0,0,0,0,0,0,5.723585102,96,9216
